,Aberdeen Falls,Abhayagiri Dagaba,Ambewela Farms,Ambuluwawa Tower,Ancient City of Polonnaruwa,Angurukaramulla Temple,Arugam Bay,Bahiravokanda Vihara Buddha Statue,Baker's Falls,Bambarakanda Falls,Batticaloa Fort,Beddegana Wetland Park,Bentota Beach,Bogoda Wooden Bridge,Bopath Ella (Bopath Falls),Brief Garden - Bevis Bawa,Buduruwagala Temple,Casuarina Beach,Ceylon Tea Museum,Coconut Tree Hill,Colombo Lotus Tower,Colombo National Museum,Dagoba of Thuparama,Dambulla Cave Temple,Dehiwala Zoo - Sri Lanka,Demodara Loop,Devon Falls,Diyaluma Falls,Diyatha Uyana,Dondra Head Lighthouse,Dunhinda Falls,Dutch Hospital Shopping Precinct,Elephant Pass,Elephant Transit Home (ETH),Ella Rock,Embekka Devalaya,Fort Frederick,Gal Oya National Park,Gal Vihara,Galle Dutch Fort,Galle Face Green,Galle Face Hotel,Galle Fort Lighthouse,Galway's Land National Park,Gangaramaya Temple,Gartmore Falls,Goyambokka Beach,Gregory Lake,Hakgala Botanic Gardens,Handunugoda Tea Estate,Henerathgoda Botanical Garden,Hikkaduwa Beach,Hiriketiya Beach,Horton Plains National Park,Hummanaya Blow Hole,Hurulu Eco Park,Independence Memorial Hall,Isurumuniya Temple,Jaffna Fort,Jaffna Public Library,Jami Ul-Alfar Mosque,Japanese Peace Pagoda - Rumassala,Jaya Sri Maha Bodhi,Jungle Beach,Kabalana Beach,Kalametiya Eco Bird Watching,Kalutara Bodhiya,Kande Viharaya Temple,Kandy Lake,Kandy View Point,Kanniya Hot Springs,Kataragama Temple,Kaudulla National Park,Keerimalai Hot springs,Kelaniya Raja Maha Vihara,Kiri Vehera,Kirinda Viharaya,Knuckles Mountain Range,Koggala Lake,Kosgoda Sea Turtle Conservation Project,Kumana National Park,Laxapana Falls,Lipton’s Seat,Little Adam's Peak View Point,Lovamahapaya Brazen Palace,Lover's Leap Falls,Lunugamvehera National Park,Madu River Safari by Buddhi,Maduru Oya National Park,Maha Saman Dewalaya,Maligawila Buddha Statue,Marble Beach,Matara Paravi Duwa Temple,Mihintale,Minneriya National Park,Mirissa Beach,Moon Plains,Moonstone or Sandakada pahana,Mount Lavinia Beach,Mulgirigala Raja Maha Vihara,Muthurajawela Marsh,Nagadipa Purana Vihara,Nalanda Gedige,Nallur Kandaswamy Kovil Festival,Negombo Beach,Negombo Fish Market,Nilavarai Bottomless Well,Nilaveli Beach,Nine Arches Bridge,Old Parliament Building,Pasikudah Beach,Pedro Tea Factory,Pettah Floating Market,Pidurangala Rock,Pidurutalagala,Pinnawala Elephant Orphanage,Pitawala Pathana,Polhena Beach,Polonnaruwa Vatadage,Popham's Arboretum,Rankoth Vehera,Ravana Ella Falls,Richmond Castle,Ridee Viharaya (silver Temple),Ritigala Forest Monastery,Royal Botanical Gardens,Ruwanweli Maha Seya,Samadhi Statue,Samudra Parakrama,Sea Turtle Conservation Project (Koggala),Sea Turtle Farm Galle Mahamodara,Seema Malakaya Temple,Seenigama Muhudu Viharaya,Seruwila Mangala Raja Maha Vihara,Sigiriya Lion Rock,Single Tree Hill,Sinharaja Forest Reserve,Sithulpawwa Rock Temple,Somawathiya Chaitya,Sri Pada / Adam's Peak,St Benedict's Monastery - Adisham,St Clair's Falls,St Lucia's Cathedral,St. Mary's Church,Statue of Parakramabahu I,Temple of the Sacred Tooth Relic,Trincomalee Beach,Trincomalee War Cemetery,Turtle Conservation Project Turtle Watch,Twin Baths (Kuttam Pokuna),Udawalawe National Park,Unawatuna Beach,Uppuveli Beach,Victoria Park of Nuwara Eliya,Viharamahadevi Park,Visit Kanneliya Rain Forest,Wasgamuwa National Park,Weherahena Buddhist Temple,Weligama Beach,Wewurukannala Vihara,Whale Watching in Mirissa,Wilpattu National Park,Wolvendaal Church,Yala National Park,Yapahuwa Rock Fortress
Little Adam's Peak View Point,82.66,241.47,39.36,86.81,158.06,183.27,111.88,89.08,41.24,36.33,155.24,168.19,168.43,23.11,101.54,161.04,26.55,458.33,86.25,161.22,175.78,175.29,239.33,157.55,173.25,5.51,64.34,19.91,167.68,154.49,22.29,173.99,401.92,73.63,2.14,88.82,252.99,80.14,161.96,173.99,177.78,177.5,174.24,44.08,175.95,74.51,132.21,43.31,36.56,161.26,160.64,176.71,142.25,38.97,138.58,180.24,174.28,236.86,438.23,438.02,176.81,173.26,237.8,163.36,166.51,115.31,165.87,166.53,87.37,87.74,257.8,80.63,193.6,458.77,167.23,161.43,103.46,94.01,165.54,169.77,94.91,82.06,14.19,0.0,237.63,43.6,59.99,172.81,99.06,103.14,46.71,242.73,154.99,233.37,171.77,161.24,39.38,232.5,174.64,118.88,176.36,444.65,132.81,438.84,186.44,186.4,447.08,269.71,1.63,178.05,172.25,41.9,176.32,167.45,46.64,117.37,110.02,157.26,159.11,156.64,160.68,0.68,163.22,129.02,194.93,90.36,238.57,239.99,152.55,167.4,173.82,175.91,176.02,224.14,166.19,45.84,106.36,90.02,184.97,78.87,23.59,61.32,175.21,175.76,157.06,87.92,257.29,257.88,124.04,233.4,57.76,173.42,255.52,45.57,175.25,138.2,130.7,151.59,161.12,143.99,163.68,277.95,175.8,77.83,177.51
Lovamahapaya Brazen Palace,205.04,4.44,218.99,174.59,106.55,183.57,303.19,157.59,234.53,238.67,211.63,224.19,286.53,214.52,225.95,281.27,262.87,221.15,161.25,352.7,221.58,223.73,2.23,80.29,230.44,232.68,206.87,253.7,223.52,356.38,217.52,340.59,173.78,287.69,238.34,166.82,128.58,230.04,104.38,340.59,222.57,223.15,340.93,209.52,223.09,230.61,346.91,211.28,216.64,341.63,191.47,326.62,352.07,232.98,350.55,68.88,224.27,0.96,201.76,201.59,220.33,342.01,0.96,349.7,347.02,339.87,265.01,283.48,158.5,158.28,119.69,318.0,79.71,222.88,215.24,104.77,341.06,143.61,343.37,296.63,313.42,212.23,246.35,237.63,0.0,208.3,297.48,307.78,158.41,243.71,274.89,121.49,351.79,17.66,81.9,352.1,212.84,5.24,233.79,329.4,194.06,207.05,105.22,202.66,180.05,184.76,212.06,127.56,236.07,221.83,180.36,209.64,220.96,76.92,204.38,152.72,127.61,353.51,105.76,81.68,105.14,237.0,262.39,118.94,49.57,159.89,1.48,3.25,105.71,345.03,338.82,223.15,323.8,134.78,77.74,210.04,285.2,325.54,117.42,223.16,243.26,208.88,218.47,218.96,106.76,157.96,126.48,125.76,343.42,4.78,277.96,343.08,126.41,209.1,223.09,307.35,116.15,351.54,348.21,354.76,358.11,56.75,219.47,306.35,77.84
Lover's Leap Falls,41.55,212.42,10.79,44.07,144.96,139.98,153.44,51.76,27.01,30.42,171.57,128.35,140.59,31.03,65.89,133.06,60.54,429.28,48.32,159.14,135.31,135.09,210.19,130.71,133.96,41.98,22.96,50.6,127.77,157.39,40.9,162.01,378.09,80.81,42.76,47.57,244.51,107.99,148.75,162.01,137.34,137.14,162.32,1.94,135.65,43.96,142.0,3.46,8.79,154.12,117.88,158.98,149.24,25.05,146.78,158.77,134.19,207.46,410.06,409.89,136.17,162.07,208.61,158.99,159.72,132.06,133.23,138.21,50.5,50.79,247.29,117.97,177.02,431.14,126.37,148.26,137.62,69.52,157.56,144.42,138.5,43.02,44.14,43.6,208.3,0.0,94.86,150.06,95.62,73.34,90.27,233.72,155.25,206.67,152.87,158.87,4.91,203.4,135.73,125.49,133.6,413.9,103.76,410.94,143.03,143.14,420.1,259.53,42.82,137.52,179.74,1.73,135.76,145.28,3.99,75.03,84.16,157.34,145.91,130.77,147.52,42.97,130.32,92.7,170.5,51.22,209.4,210.96,138.08,159.44,161.24,135.62,157.53,218.87,143.9,4.32,94.01,129.85,176.97,44.16,36.71,20.57,134.43,135.02,143.86,51.06,248.06,248.46,136.89,203.8,69.77,162.59,246.43,3.12,134.98,124.63,114.14,153.35,156.98,151.61,163.13,243.43,135.11,120.85,141.38
Lunugamvehera National Park,123.11,301.35,85.91,138.26,216.2,223.86,106.08,145.63,75.68,69.26,194.75,197.99,176.45,83.04,130.38,170.01,34.97,518.3,142.42,133.46,206.68,205.56,299.2,217.5,201.45,65.15,108.4,44.7,197.65,120.99,81.29,158.21,461.6,56.84,59.17,142.41,308.08,115.02,220.08,158.21,208.5,208.05,158.37,94.38,206.44,103.55,92.69,92.91,86.11,140.29,199.3,168.79,104.97,75.54,100.21,239.96,204.35,296.7,498.22,498.01,208.11,156.48,297.67,138.42,144.44,69.32,181.92,175.48,144.12,144.46,313.81,23.75,252.32,518.76,199.57,219.53,43.62,153.91,145.2,173.8,70.34,119.37,51.82,59.99,297.48,94.86,0.0,172.6,155.61,123.51,42.37,298.19,124.88,293.36,231.15,133.88,89.95,292.38,201.93,85.97,214.44,504.44,192.47,498.83,227.82,226.77,507.05,325.46,61.58,208.99,218.95,93.19,207.42,227.29,98.73,169.15,169.9,127.12,217.26,216.63,218.8,60.6,179.94,186.46,254.88,145.81,298.44,299.88,211.13,146.82,158.92,206.38,169.24,277.94,226.04,95.02,102.82,38.52,240.79,111.32,58.34,105.27,206.95,207.39,215.24,144.69,312.71,313.37,81.75,293.22,46.23,156.13,310.89,95.42,205.7,129.39,190.0,119.94,136.12,105.68,133.63,336.63,207.29,46.3,235.26
Madu River Safari by Buddhi,119.9,312.21,144.05,149.97,282.13,139.99,274.54,172.77,133.44,136.99,321.4,92.47,23.7,176.42,91.31,26.93,163.39,512.64,169.8,79.67,99.43,96.98,309.99,248.77,88.93,175.76,131.7,159.77,92.89,96.2,185.05,44.85,480.19,115.82,170.73,158.63,381.21,252.22,285.48,44.85,99.69,98.94,45.11,148.17,98.02,106.14,115.07,147.13,149.0,60.98,121.53,22.28,107.73,136.12,111.07,282.78,95.82,306.81,497.4,497.37,101.3,47.75,308.44,71.63,63.24,133.89,47.38,26.34,173.32,173.24,381.36,190.05,306.97,519.35,101.02,285.08,189.36,205.27,58.5,12.19,242.6,113.92,160.77,172.81,307.78,150.06,172.6,0.0,243.39,77.81,202.94,370.24,86.83,313.66,281.77,78.57,149.75,304.15,86.35,104.24,126.35,491.62,223.22,499.18,145.08,140.84,510.94,393.53,173.44,100.6,329.06,150.45,100.37,269.83,151.3,159.07,214.3,86.67,282.89,250.79,284.42,172.62,49.02,196.79,287.28,167.42,309.2,310.98,274.38,58.95,42.34,97.94,18.94,359.9,268.46,145.76,70.28,206.57,317.2,107.6,149.33,132.39,102.16,102.02,281.02,173.6,383.73,383.88,123.4,303.03,128.74,49.22,382.33,147.02,97.59,45.3,250.75,91.45,72.04,110.3,86.0,319.4,101.53,218.66,229.95
Maduru Oya National Park,124.77,161.41,104.3,99.92,61.47,190.43,144.94,79.74,119.45,119.65,88.51,200.22,230.96,79.79,153.64,223.59,125.3,372.35,81.12,253.08,204.34,205.09,159.6,82.98,207.02,93.56,111.71,118.78,199.5,249.29,76.86,257.64,309.55,168.88,100.66,93.03,153.96,71.94,65.25,257.64,206.29,206.38,257.94,97.55,205.23,138.09,229.72,98.97,99.61,249.31,177.06,253.95,238.84,116.81,235.6,91.75,204.64,157.85,351.09,350.83,204.46,257.68,158.3,253.61,254.87,214.21,219.07,228.29,78.26,78.53,158.78,171.77,98.3,370.61,194.86,64.71,196.81,48.24,252.89,236.45,156.54,129.99,112.13,99.06,158.41,95.62,155.61,243.39,0.0,165.58,123.53,143.67,248.3,149.35,80.42,252.91,97.47,153.2,209.7,215.01,190.57,361.81,71.58,351.27,191.09,193.47,358.12,170.66,97.47,206.11,86.25,95.75,204.42,81.63,93.49,112.12,53.19,250.49,62.54,80.09,64.0,98.63,216.0,91.39,109.87,85.64,158.96,160.0,57.63,254.78,256.85,205.24,252.32,125.7,80.73,99.68,189.49,175.62,85.91,135.81,115.66,111.18,202.35,203.0,60.61,78.27,158.24,158.81,222.33,155.08,154.26,258.19,156.47,98.36,204.73,220.25,42.32,245.75,251.52,240.85,256.57,208.83,203.29,152.71,124.58
Maha Saman Dewalaya,43.12,248.14,68.85,74.67,205.95,109.15,212.8,97.06,61.9,67.15,244.85,75.26,67.3,101.83,17.86,59.76,101.93,458.06,93.82,109.57,84.22,82.86,245.86,176.98,78.17,104.86,53.92,95.25,75.0,115.73,111.14,98.78,417.49,73.8,101.26,83.46,305.71,179.26,209.43,98.78,85.92,85.41,99.11,71.51,83.8,29.8,114.56,70.67,73.64,97.92,84.19,89.97,115.64,64.23,115.68,210.01,81.59,242.77,440.97,440.89,85.8,99.75,244.27,106.08,103.34,118.83,62.77,64.99,97.34,97.32,306.6,145.87,232.84,462.74,78.14,209.0,155.15,128.42,99.8,71.27,187.53,36.58,93.76,103.14,243.71,73.34,123.51,77.81,165.58,0.0,141.9,294.74,109.81,247.0,207.62,108.89,73.72,239.53,78.5,96.94,97.32,439.3,150.25,442.39,113.91,111.56,453.14,318.85,103.37,86.5,251.34,73.94,85.03,196.68,74.15,90.99,138.62,111.3,206.76,178.5,208.32,102.8,60.18,126.69,216.78,92.15,245.05,246.79,198.32,101.5,97.34,83.74,87.95,283.23,195.28,69.03,44.75,161.81,240.56,29.85,81.4,54.74,84.9,85.27,204.83,97.69,308.52,308.75,115.81,238.94,78.01,100.67,307.05,70.24,83.07,63.75,174.4,110.54,104.68,118.6,115.31,264.99,85.1,165.11,167.08
Maligawila Buddha Statue,128.08,278.46,85.12,133.42,185.01,229.49,71.82,134.01,82.57,76.29,153.05,211.7,202.84,66.16,143.71,195.8,40.31,493.63,131.47,173.35,219.69,219.01,276.42,194.75,216.28,49.2,110.24,46.79,211.23,162.08,59.73,194.71,432.91,89.73,47.52,135.03,272.14,73.61,188.78,194.71,221.65,221.32,194.9,90.67,219.74,115.85,134.55,89.81,82.9,178.28,206.43,202.43,146.6,81.03,141.97,212.8,217.93,274.19,472.84,472.61,220.85,193.31,274.96,177.6,182.84,111.65,204.04,201.37,132.2,132.58,278.72,50.12,221.81,492.81,211.5,188.24,75.55,133.02,183.07,202.15,48.33,126.61,49.71,46.71,274.89,90.27,42.37,202.94,123.53,141.9,0.0,262.66,165.26,268.67,202.67,173.67,85.94,269.68,217.38,126.36,222.11,481.48,172.27,473.21,232.78,232.6,480.6,290.04,47.61,221.99,178.91,88.56,220.29,201.0,93.35,163.78,148.68,167.53,186.07,193.21,187.53,47.35,201.65,172.63,229.31,135.9,275.7,276.99,180.89,184.79,195.12,219.69,202.41,241.12,199.86,92.32,132.9,52.08,206.13,121.71,61.77,107.13,219.37,219.89,184.14,132.72,277.04,277.77,123.86,270.93,74.83,193.13,275.18,92.13,219.02,162.65,161.99,160.62,175.28,147.48,174.1,318.74,219.89,32.3,220.29
Marble Beach,251.62,120.18,243.68,220.46,89.19,274.71,260.59,197.78,259.74,261.0,137.5,304.13,353.29,223.0,279.3,346.59,268.9,265.42,200.94,392.82,304.66,306.28,120.45,126.2,311.12,237.23,244.14,262.45,303.39,390.75,220.52,392.3,188.96,311.4,244.33,211.73,10.98,195.17,85.55,392.3,306.19,306.58,392.62,235.54,305.98,271.52,372.7,237.19,239.46,386.89,273.26,384.62,381.32,257.29,378.32,92.38,306.38,121.89,242.6,242.21,303.98,392.83,120.61,392.39,392.52,357.83,336.09,350.32,197.42,197.45,16.8,312.44,65.47,258.17,296.27,86.0,337.84,166.95,389.97,361.15,285.7,258.29,255.74,242.73,121.49,233.72,298.19,370.24,143.67,294.74,262.66,0.0,388.94,103.88,89.68,392.53,236.64,119.44,314.37,357.42,281.41,263.52,148.4,241.64,272.74,276.87,244.29,27.39,241.14,305.67,99.58,234.29,304.33,103.34,230.75,214.38,156.16,391.04,88.3,123.19,86.71,242.3,333.09,177.28,97.63,202.94,120.58,119.84,96.58,391.83,391.14,306.02,382.46,26.1,104.57,237.25,326.55,313.9,57.77,266.91,258.63,244.66,301.86,302.46,90.3,197.08,14.57,15.18,365.69,122.83,297.31,393.54,12.81,235.97,305.74,355.36,120.71,386.87,390.44,383.46,396.85,173.54,302.91,288.2,165.86
Matara Paravi Duwa Temple,146.83,356.17,145.26,178.05,300.2,210.1,230.37,197.91,129.32,128.66,309.66,165.7,105.86,169.41,127.56,104.15,134.1,567.76,194.29,9.88,174.29,172.07,353.89,280.56,164.58,159.87,147.87,136.01,165.86,9.47,174.72,47.52,525.27,81.37,152.95,186.38,399.69,231.66,303.98,47.52,175.2,174.47,47.45,153.45,173.18,121.9,36.89,151.79,149.56,26.75,187.03,69.2,25.15,131.84,30.0,311.54,170.75,350.86,550.47,550.37,176.21,44.52,352.28,17.9,27.0,62.17,125.8,107.2,197.56,197.67,402.53,133.41,331.55,572.18,172.52,303.49,123.0,223.74,30.72,96.13,191.94,139.62,140.8,154.99,351.79,155.25,124.88,86.83,248.3,109.81,165.26,388.94,0.0,353.72,306.93,10.76,152.31,347.39,162.9,38.96,196.72,549.11,253.15,551.82,215.22,211.81,562.38,414.78,156.29,176.05,326.94,154.65,175.27,297.96,158.34,199.62,237.08,2.29,301.14,281.43,302.76,155.16,125.98,233.19,320.91,194.27,353.07,354.79,293.26,31.26,49.59,173.09,71.73,373.42,296.56,151.84,66.6,148.14,331.95,128.83,133.96,146.61,176.38,176.45,299.1,198.04,403.3,403.7,48.46,347.04,97.4,43.36,401.66,153.1,172.57,51.73,269.22,5.9,16.35,26.72,8.86,374.8,176.05,168.7,276.17
Mihintale,206.96,17.1,217.44,175.73,94.11,193.88,293.29,157.21,233.33,237.08,197.25,232.62,293.03,210.35,229.41,287.47,259.12,225.19,160.89,355.12,230.61,232.68,16.86,76.25,239.08,228.25,207.2,250.23,231.93,357.9,212.59,344.84,171.93,286.94,234.22,167.58,111.09,220.2,91.55,344.84,231.72,232.26,345.18,208.02,232.1,231.96,347.01,209.79,214.75,344.82,199.91,331.85,352.75,231.61,350.98,57.84,233.13,18.02,204.87,204.66,229.47,346.13,16.81,352.52,350.28,338.7,272.12,289.97,157.92,157.74,102.46,313.17,64.29,225.43,223.8,91.98,336.76,139.73,346.79,302.8,305.52,214.18,242.87,233.37,17.66,206.67,293.36,313.66,149.35,247.0,268.67,103.88,353.72,0.0,70.24,354.56,211.03,15.9,242.44,329.71,203.68,212.97,102.92,205.47,190.66,195.3,213.92,110.69,231.78,231.02,164.93,207.91,230.05,68.03,202.83,156.32,123.87,355.52,93.24,76.8,92.43,232.76,269.41,120.64,39.58,160.11,16.86,16.41,94.3,348.5,343.17,232.15,329.13,117.24,69.07,208.73,287.28,319.92,101.57,224.89,240.65,208.99,227.54,228.05,94.45,157.4,109.13,108.44,342.95,19.19,276.43,347.14,109.01,207.73,232.05,310.75,107.63,353.18,350.95,355.37,360.34,73.18,228.56,299.66,84.7
Minneriya National Park,164.72,84.17,163.47,132.95,24.89,187.15,223.22,110.78,179.81,182.3,131.66,214.61,264.18,149.51,191.5,257.6,198.23,291.94,114.19,309.88,215.38,216.94,82.67,37.52,221.61,166.38,159.51,190.17,213.86,309.73,149.91,306.09,230.65,233.32,172.95,124.16,100.53,150.24,23.34,306.09,216.96,217.32,306.42,154.53,216.67,186.51,294.76,156.27,159.86,302.33,184.08,297.0,302.11,177.65,299.65,13.16,217.0,81.52,270.72,270.47,214.77,306.84,81.58,308.64,307.94,283.07,246.56,261.19,110.72,110.69,99.67,249.33,25.24,290.37,206.86,23.62,273.78,83.42,305.06,272.34,236.95,171.65,182.93,171.77,81.9,152.87,231.15,281.77,80.42,207.62,202.67,89.68,306.93,70.24,0.0,309.48,156.54,76.94,224.84,278.36,192.94,281.57,58.88,270.95,185.61,189.5,278.02,111.79,170.15,216.46,104.17,153.76,215.09,14.81,149.42,124.77,69.96,308.93,24.21,34.08,23.85,171.22,243.58,87.6,32.48,115.48,82.15,82.87,24.07,306.88,304.78,216.71,294.71,85.78,15.75,155.83,242.4,254.57,48.81,181.03,182.97,160.51,212.63,213.24,24.99,110.31,102.46,102.53,289.13,79.44,220.82,307.65,101.19,154.64,216.41,269.72,41.15,305.47,306.81,304.49,314.4,136.77,213.68,232.7,83.7
Mirissa Beach,147.65,356.5,149.17,179.26,303.57,205.95,239.68,199.73,133.53,133.36,316.31,160.72,98.69,174.64,126.75,97.59,141.32,566.86,196.14,1.11,169.12,166.84,354.22,282.17,159.2,165.97,150.02,142.65,160.92,19.58,180.39,37.45,525.78,87.92,159.17,187.74,403.34,238.86,307.32,37.45,169.92,169.19,37.35,157.02,167.95,123.45,47.53,155.4,153.63,17.61,183.42,59.86,35.91,136.13,40.74,313.67,165.54,351.16,549.86,549.77,171.04,34.38,352.62,7.46,16.7,72.6,119.53,100.25,199.48,199.57,405.87,143.26,334.27,571.63,167.87,306.83,133.46,226.6,20.85,88.49,201.61,140.43,147.09,161.24,352.1,158.87,133.88,78.57,252.91,108.89,173.67,392.53,10.76,354.56,309.48,0.0,156.18,347.79,157.36,47.99,192.44,547.83,254.84,551.28,211.1,207.54,562.02,418.13,162.49,170.79,332.67,158.37,170.1,300.11,161.78,199.53,239.53,9.38,304.5,283.19,306.11,161.38,119.94,233.93,322.47,195.83,353.41,355.13,296.5,21.11,39.64,167.86,62.56,377.57,298.71,155.29,67.47,158.19,335.83,129.92,139.6,148.98,171.33,171.36,302.46,199.94,406.83,407.21,58.99,347.34,104.09,33.14,405.21,156.57,167.37,47.67,272.39,16.66,6.54,37.45,7.59,373.56,170.95,178.21,275.89
Moon Plains,44.42,216.94,7.05,48.86,148.07,143.94,149.95,56.56,23.32,26.1,171.66,131.1,141.01,28.87,67.4,133.48,55.66,433.86,53.14,156.42,138.24,137.94,214.72,134.98,136.58,38.13,25.74,45.72,130.54,154.21,38.65,160.36,382.33,76.87,38.43,52.47,247.38,106.4,151.89,160.36,140.27,140.04,160.65,4.76,138.53,44.02,138.22,4.0,3.9,151.91,121.55,158.02,145.7,21.11,143.14,162.67,137.01,211.99,414.59,414.42,139.15,160.32,213.14,156.5,157.49,127.79,134.45,138.71,55.26,55.56,250.36,113.07,180.53,435.64,129.4,151.39,132.72,73.32,155.44,144.47,134.23,45.2,39.32,39.38,212.84,4.91,89.95,149.75,97.47,73.72,85.94,236.64,152.31,211.03,156.54,156.18,0.0,207.91,138.26,121.89,137.28,418.57,108.14,415.46,147.07,147.07,424.56,262.58,38.7,140.47,180.86,3.29,138.72,149.21,8.84,79.84,88.19,154.42,149.03,134.97,150.65,38.78,131.59,97.52,174.65,56.11,213.92,215.48,141.3,157.33,159.65,138.5,156.66,221.4,147.84,6.53,92.03,125.01,179.69,45.17,31.82,23.01,137.44,138.02,146.98,55.83,251.02,251.43,132.88,208.34,65.41,160.8,249.37,6.19,137.85,123.0,117.46,150.26,154.46,148.03,160.28,248.24,138.1,116.31,146.23
Moonstone or Sandakada pahana,200.6,9.03,214.09,170.02,101.66,181.12,298.0,152.8,229.68,233.78,207.02,221.19,283.04,209.4,221.79,277.71,257.78,226.17,156.46,348.39,218.75,220.88,6.83,75.11,227.5,227.54,202.2,248.63,220.51,351.92,212.35,336.62,178.0,282.9,233.23,162.18,126.85,224.85,99.55,336.62,219.78,220.35,336.96,204.63,220.25,226.09,342.24,206.39,211.71,337.45,188.45,322.85,347.49,228.11,345.93,63.88,221.39,4.66,206.68,206.51,217.54,338.02,5.3,345.46,342.86,335.04,261.66,279.99,153.69,153.47,118.33,312.85,75.54,227.75,212.27,99.92,335.94,138.49,339.24,293.06,308.19,207.8,241.28,232.5,5.24,203.4,292.38,304.15,153.2,239.53,269.68,119.44,347.39,15.9,76.94,347.79,207.91,0.0,230.86,324.75,191.4,212.2,100.19,207.55,177.7,182.4,216.85,126.59,230.94,219.05,176.05,204.72,218.15,71.74,199.48,148.54,122.49,349.13,100.88,76.47,100.28,231.88,259.03,114.4,44.54,155.18,6.06,7.57,100.69,340.91,334.87,220.31,320.05,131.9,72.55,205.16,280.82,320.35,113.33,218.7,238.27,204.18,215.65,216.15,101.85,153.15,124.97,124.29,338.68,3.4,273.08,339.07,124.83,204.22,220.24,303.21,110.93,347.1,343.96,350.17,353.77,60.99,216.66,301.12,74.22
Mount Lavinia Beach,94.27,238.12,136.0,110.29,231.77,54.84,286.45,130.1,134.91,141.1,296.73,10.24,62.66,166.76,73.66,61.06,178.4,429.61,128.59,158.36,13.36,10.91,236.02,188.26,3.36,175.0,112.77,170.69,10.98,171.3,176.64,129.56,402.38,151.26,173.07,116.7,325.1,242.81,234.46,129.56,13.37,12.62,129.86,134.4,11.87,101.54,180.47,134.38,139.83,140.99,42.55,108.51,177.54,136.65,179.23,222.54,9.97,232.84,415.33,415.34,15.13,132.13,234.57,151.61,144.78,190.93,39.12,60.15,131.5,131.24,322.95,224.37,248.98,437.27,18.65,234.17,232.98,163.28,140.06,74.18,264.32,93.13,167.88,174.64,233.79,135.73,201.93,86.35,209.7,78.5,217.38,314.37,162.9,242.44,224.84,157.36,138.26,230.86,0.0,164.65,41.71,407.76,167.03,417.29,59.73,55.23,429.54,334.63,174.48,14.27,294.49,137.01,14.25,211.04,134.59,102.13,166.47,163.52,232.3,191.18,233.62,174.17,37.98,137.45,222.49,124.16,235.26,237.04,223.86,141.05,127.16,11.79,105.19,309.04,209.8,132.02,112.8,240.28,267.52,95.95,155.64,115.3,16.36,16.08,230.74,131.52,326.59,326.53,184.89,229.2,156.49,133.54,325.45,132.84,11.56,111.45,202.81,165.98,151.28,180.48,164.9,237.84,15.56,242.55,157.88
Mulgirigala Raja Maha Vihara,125.87,333.69,114.92,154.9,269.56,204.93,191.68,172.52,98.58,96.59,272.35,165.06,117.22,135.3,113.11,113.14,96.46,548.34,168.83,47.53,174.13,172.21,331.42,254.78,165.6,124.0,122.59,99.35,165.04,36.16,139.61,76.75,501.63,46.13,116.91,162.58,368.02,193.74,273.41,76.75,175.42,174.77,76.83,123.85,173.29,99.64,17.91,122.1,118.7,56.65,180.36,92.93,23.9,100.81,21.34,284.08,170.86,328.5,530.17,530.04,175.97,74.44,329.81,53.0,59.97,29.67,132.15,117.58,171.86,172.03,371.6,95.69,302.42,551.64,170.32,272.9,88.32,194.99,61.63,110.14,153.76,118.98,104.76,118.88,329.4,125.49,85.97,104.24,215.01,96.94,126.36,357.42,38.96,329.71,278.36,47.99,121.89,324.75,164.65,0.0,192.37,530.99,227.41,531.32,209.86,207.11,541.26,383.76,120.27,176.18,291.11,124.61,175.07,270.54,128.98,180.17,209.33,41.21,270.54,255.22,272.16,119.12,131.41,210.54,295.0,169.68,330.61,332.27,262.98,63.02,78.05,173.21,94.44,340.67,269.16,122.62,53.19,111.05,299.93,107.79,99.42,120.72,175.66,175.87,268.48,172.38,371.9,372.38,20.33,324.72,61.23,73.77,370.21,123.79,172.61,59.6,239.27,34.28,50.75,26.14,47.76,357.21,175.56,130.27,256.23
