,Aberdeen Falls,Abhayagiri Dagaba,Ambewela Farms,Ambuluwawa Tower,Ancient City of Polonnaruwa,Angurukaramulla Temple,Arugam Bay,Bahiravokanda Vihara Buddha Statue,Baker's Falls,Bambarakanda Falls,Batticaloa Fort,Beddegana Wetland Park,Bentota Beach,Bogoda Wooden Bridge,Bopath Ella (Bopath Falls),Brief Garden - Bevis Bawa,Buduruwagala Temple,Casuarina Beach,Ceylon Tea Museum,Coconut Tree Hill,Colombo Lotus Tower,Colombo National Museum,Dagoba of Thuparama,Dambulla Cave Temple,Dehiwala Zoo - Sri Lanka,Demodara Loop,Devon Falls,Diyaluma Falls,Diyatha Uyana,Dondra Head Lighthouse,Dunhinda Falls,Dutch Hospital Shopping Precinct,Elephant Pass,Elephant Transit Home (ETH),Ella Rock,Embekka Devalaya,Fort Frederick,Gal Oya National Park,Gal Vihara,Galle Dutch Fort,Galle Face Green,Galle Face Hotel,Galle Fort Lighthouse,Galway's Land National Park,Gangaramaya Temple,Gartmore Falls,Goyambokka Beach,Gregory Lake,Hakgala Botanic Gardens,Handunugoda Tea Estate,Henerathgoda Botanical Garden,Hikkaduwa Beach,Hiriketiya Beach,Horton Plains National Park,Hummanaya Blow Hole,Hurulu Eco Park,Independence Memorial Hall,Isurumuniya Temple,Jaffna Fort,Jaffna Public Library,Jami Ul-Alfar Mosque,Japanese Peace Pagoda - Rumassala,Jaya Sri Maha Bodhi,Jungle Beach,Kabalana Beach,Kalametiya Eco Bird Watching,Kalutara Bodhiya,Kande Viharaya Temple,Kandy Lake,Kandy View Point,Kanniya Hot Springs,Kataragama Temple,Kaudulla National Park,Keerimalai Hot springs,Kelaniya Raja Maha Vihara,Kiri Vehera,Kirinda Viharaya,Knuckles Mountain Range,Koggala Lake,Kosgoda Sea Turtle Conservation Project,Kumana National Park,Laxapana Falls,Lipton’s Seat,Little Adam's Peak View Point,Lovamahapaya Brazen Palace,Lover's Leap Falls,Lunugamvehera National Park,Madu River Safari by Buddhi,Maduru Oya National Park,Maha Saman Dewalaya,Maligawila Buddha Statue,Marble Beach,Matara Paravi Duwa Temple,Mihintale,Minneriya National Park,Mirissa Beach,Moon Plains,Moonstone or Sandakada pahana,Mount Lavinia Beach,Mulgirigala Raja Maha Vihara,Muthurajawela Marsh,Nagadipa Purana Vihara,Nalanda Gedige,Nallur Kandaswamy Kovil Festival,Negombo Beach,Negombo Fish Market,Nilavarai Bottomless Well,Nilaveli Beach,Nine Arches Bridge,Old Parliament Building,Pasikudah Beach,Pedro Tea Factory,Pettah Floating Market,Pidurangala Rock,Pidurutalagala,Pinnawala Elephant Orphanage,Pitawala Pathana,Polhena Beach,Polonnaruwa Vatadage,Popham's Arboretum,Rankoth Vehera,Ravana Ella Falls,Richmond Castle,Ridee Viharaya (silver Temple),Ritigala Forest Monastery,Royal Botanical Gardens,Ruwanweli Maha Seya,Samadhi Statue,Samudra Parakrama,Sea Turtle Conservation Project (Koggala),Sea Turtle Farm Galle Mahamodara,Seema Malakaya Temple,Seenigama Muhudu Viharaya,Seruwila Mangala Raja Maha Vihara,Sigiriya Lion Rock,Single Tree Hill,Sinharaja Forest Reserve,Sithulpawwa Rock Temple,Somawathiya Chaitya,Sri Pada / Adam's Peak,St Benedict's Monastery - Adisham,St Clair's Falls,St Lucia's Cathedral,St. Mary's Church,Statue of Parakramabahu I,Temple of the Sacred Tooth Relic,Trincomalee Beach,Trincomalee War Cemetery,Turtle Conservation Project Turtle Watch,Twin Baths (Kuttam Pokuna),Udawalawe National Park,Unawatuna Beach,Uppuveli Beach,Victoria Park of Nuwara Eliya,Viharamahadevi Park,Visit Kanneliya Rain Forest,Wasgamuwa National Park,Weherahena Buddhist Temple,Weligama Beach,Wewurukannala Vihara,Whale Watching in Mirissa,Wilpattu National Park,Wolvendaal Church,Yala National Park,Yapahuwa Rock Fortress
Ridee Viharaya (silver Temple),185.08,184.92,220.54,119.27,142.71,156.75,329.61,87.81,251.85,262.16,266.96,190.84,266.96,229.05,163.98,257.54,227.31,507.49,95.12,351.74,192.7,194.86,181.5,78.34,201.39,267.75,189.06,303.77,189.72,356.35,242.01,337.68,438.15,254.49,276.77,103.05,282.15,229.14,146.35,337.68,195.21,195.67,338.19,200.59,194.56,239.34,342.19,204.19,217.35,336.47,146.35,320.32,349.71,249.21,347.48,129.91,194.83,177.06,479.67,479.47,191.99,339.39,179.09,347.85,344.72,333.17,239.16,262.41,90.84,90.13,280.04,313.22,168.28,511.77,179.56,145.97,344.65,100.01,339.6,280.09,326.49,200.55,288.6,276.47,178.41,198.64,279.69,295.19,137.08,190.03,258.94,265.92,349.78,180.96,131.4,350.9,208.97,171.6,206.18,315.81,161.99,483.04,44.67,481.31,156.1,160.88,496.08,297.93,273.54,194.53,248.94,201.92,192.36,111.42,190.11,56.76,57.41,352.45,143.39,81.93,145.22,275.01,234.74,0.0,135.96,89.83,180.28,182.81,131.01,342.18,335.32,194.61,316.51,257.54,109.47,200.7,250.03,328.53,195.92,223.69,276.81,193.74,188.75,189.69,141.24,89.61,284.82,284.83,337.49,171.38,241.6,340.83,282.99,199.09,194.1,285.57,103.17,349.17,345.48,353.75,359.6,226.09,190.31,307.37,73.2
Ritigala Forest Monastery,375.32,56.8,388.46,307.03,85.98,268.47,277.29,263.66,423.04,430.18,178.48,318.52,401.94,368.66,299.5,392.82,331.41,288.37,271.48,484.44,317.61,320.37,55.04,60.54,328.74,406.56,371.21,454.86,317.44,486.79,372.47,473.21,226.71,376.86,419.74,288.73,117.15,197.5,83.17,473.21,319.67,320.35,473.71,368.46,319.73,426.62,468.0,372.28,381.99,470.7,270.46,456.29,477.57,419.01,474.51,21.11,320.75,53.62,265.9,265.65,316.29,474.78,53.78,481.4,479.03,453.63,372.73,397.38,264.62,264.32,112.04,299.24,41.07,288.02,305.95,83.68,325.23,218.74,474.17,415.54,290.12,390.73,439.11,417.71,54.08,365.36,278.05,430.92,164.8,325.17,250.16,106.51,481.37,43.18,35.43,483.7,374.25,48.59,333.74,442.5,280.19,275.47,101.69,266.41,264.94,271.41,275.12,124.0,414.28,318.75,146.63,367.76,316.97,42.69,357.32,192.33,129.85,484.19,84.89,59.68,84.14,416.44,368.43,135.96,0.0,271.44,54.43,55.33,84.22,476.81,470.93,319.8,452.48,111.39,44.28,370.46,382.5,306.24,80.79,412.71,435.81,374.44,313.2,314.06,86.17,263.55,117.33,117.0,460.99,51.25,359.97,476.17,116.45,368.14,319.48,420.33,102.09,479.99,478.86,481.37,491.85,113.86,314.77,283.83,102.84
Royal Botanical Gardens,105.58,351.75,131.12,37.56,245.87,232.48,407.68,12.75,162.02,172.46,371.64,245.59,324.66,149.7,163.63,309.69,238.09,814.33,11.36,420.66,254.44,255.99,346.91,185.01,260.23,186.3,100.93,216.88,244.05,424.39,166.2,408.54,711.49,274.2,193.26,18.84,458.4,278.94,253.01,408.54,258.64,258.81,409.24,111.41,256.31,155.19,400.93,114.9,128.57,401.96,197.85,389.51,412.8,159.43,409.11,253.54,255.0,340.74,774.17,773.85,254.76,410.23,343.46,416.61,413.94,386.42,292.76,318.47,15.88,15.24,459.69,361.33,301.48,819.81,234.11,252.15,404.55,84.96,407.36,340.07,391.63,120.6,202.16,193.63,342.62,109.76,312.45,358.76,183.51,197.46,291.21,434.87,416.29,343.09,247.46,419.64,120.24,332.53,266.06,363.6,228.49,779.81,126.47,776.36,235.86,239.27,796.99,485.89,191.01,258.28,365.31,113.19,254.64,224.72,101.27,65.91,100.46,420.3,247.5,187.26,250.74,192.19,286.16,89.83,271.44,0.0,345.17,348.69,229.2,411.21,405.69,256.33,384.79,412.91,221.72,111.19,275.08,385.07,321.49,141.64,188.38,105.02,250.29,251.66,243.51,15.79,464.1,464.53,393.3,332.7,255.32,412.03,461.04,109.71,255.24,331.05,178.97,414.51,412.93,418.44,431.21,412.46,252.26,359.61,193.5
Ruwanweli Maha Seya,442.09,3.37,471.62,376.76,160.11,277.58,331.3,340.16,504.99,513.81,230.86,338.49,431.94,461.7,340.94,424.05,395.77,240.13,348.0,531.01,334.57,337.81,0.89,121.74,347.86,500.59,445.86,545.76,337.49,536.48,468.02,512.94,188.13,433.26,512.76,360.06,139.18,251.5,156.79,512.94,336.07,336.94,513.45,451.35,336.84,496.84,522.18,455.12,466.54,514.44,289.41,492.03,529.95,501.62,527.65,75.45,338.62,2.65,218.9,218.73,332.72,515.07,0.86,526.53,522.54,511.5,399.68,427.38,342.11,341.61,129.4,347.9,86.73,241.92,325.06,157.38,373.1,309.75,517.06,447.07,342.65,457.52,530.01,511.22,1.61,448.71,325.57,463.8,238.44,367.58,300.76,131.54,529.61,18.39,89.62,530.12,458.4,6.61,352.89,495.92,293.31,224.88,159.36,219.87,272.29,279.38,230.07,137.9,507.88,334.96,196.56,451.56,333.66,116.13,440.31,231.08,192.82,532.2,158.91,123.75,157.94,509.87,395.76,180.28,54.43,345.17,0.0,1.95,159.02,519.57,510.3,336.94,487.81,146.27,117.39,452.46,429.74,356.07,127.81,480.92,523.52,450.15,329.92,330.66,160.45,340.93,136.84,136.05,516.9,6.73,418.6,516.67,136.78,450.47,336.85,463.03,175.09,529.21,524.29,533.99,539.12,62.21,331.43,335.04,118.88
Samadhi Statue,445.76,1.61,474.99,380.36,161.09,280.2,332.38,343.61,508.37,517.18,231.29,341.16,434.62,464.74,343.54,426.74,397.95,238.49,351.47,533.6,337.25,340.47,1.12,123.81,350.53,503.61,449.4,548.91,340.15,539.03,470.98,515.6,186.22,435.69,515.83,363.62,138.25,252.57,157.7,515.6,338.73,339.6,516.1,454.71,339.51,500.46,524.65,458.49,469.86,517.06,292.08,494.7,532.47,505.01,530.15,76.3,341.28,4.59,217.21,217.03,335.37,517.73,2.77,529.14,525.17,513.9,402.36,430.05,345.54,345.06,128.36,349.43,86.92,240.2,327.73,158.28,374.66,312.81,519.69,449.76,343.93,461.16,533.16,514.26,3.55,452.06,327.14,466.47,240.0,370.19,302.17,130.73,532.18,17.9,90.4,532.69,461.74,8.26,355.56,498.4,295.95,223.37,161.61,218.16,274.91,281.98,228.32,136.73,510.92,337.62,196.8,454.91,336.31,117.61,443.68,233.7,194.97,534.78,159.87,125.73,158.86,512.91,398.44,182.81,55.33,348.69,1.95,0.0,160.17,522.2,512.94,339.6,490.47,145.78,118.92,455.85,432.3,357.53,127.93,484.56,526.78,453.69,332.58,333.31,161.45,344.36,135.84,135.03,519.33,8.67,420.97,519.31,135.81,453.84,339.51,465.66,176.69,531.78,526.9,536.49,541.7,62.19,334.08,336.43,121.56
Samudra Parakrama,332.61,162.15,317.87,266.59,11.89,286.59,298.89,217.76,352.69,356.59,165.59,320.55,387.33,280.74,274.77,377.0,268.65,472.63,224.27,445.25,323.23,325.25,159.82,70.11,331.12,315.17,316.29,367.59,319.43,443.21,279.36,443.58,378.05,325.98,329.74,248.04,161.28,189.56,16.66,443.58,325.8,326.24,444.06,299.68,325.02,374.94,418.29,303.3,309.32,435.71,277.25,432.4,430.28,347.68,426.18,55.27,325.09,157.95,440.53,440.13,322.62,444.38,158.15,444.24,444.15,398.67,363.23,382.94,216.73,216.84,164.07,342.68,61.78,469.6,309.81,16.05,379.81,150.81,440.23,398.44,320.66,346.76,352.37,326.89,158.56,295.89,316.69,411.57,86.44,297.48,271.33,144.87,439.89,141.45,36.11,444.75,302.79,151.03,335.79,394.47,292.89,457.81,86.46,440.73,285.24,290.5,450.79,182.47,323.4,325.19,129.78,297.36,322.95,47.09,289.14,182.84,90.15,442.99,12.85,64.08,15.08,325.78,358.65,131.01,84.22,229.2,159.02,160.17,0.0,443.03,441.85,325.06,429.25,129.02,46.85,303.04,345.25,349.43,65.59,365.01,354.9,317.53,319.38,320.32,10.32,216.06,165.93,166.4,408.88,154.62,306.04,445.46,163.6,300.36,324.51,388.19,36.24,437.15,441.36,433.67,451.54,239.85,320.93,315.51,144.3
Sea Turtle Conservation Project (Koggala),306.04,524.19,322.46,374.57,453.97,287.42,379.33,420.54,290.81,292.65,483.75,116.23,64.33,382.37,95.31,64.21,224.8,835.92,413.08,33.29,122.66,120.78,520.79,416.73,114.51,368.01,316.69,321.15,116.45,60.79,396.58,24.51,778.2,144.15,354.17,393.17,604.08,369.93,459.47,24.51,123.18,122.58,24.38,337.59,121.66,258.21,99.72,334.35,332.57,9.81,255.17,58.66,83.78,296.61,90.53,465.33,119.77,516.13,811.21,811.11,124.2,19.93,518.4,20.48,6.7,135.6,81.94,65.82,420.45,420.56,606.92,237.75,497.89,843.99,122.34,458.77,226.3,482.16,2.83,55.71,324.05,290.76,328.89,358.71,517.54,341.66,220.23,47.16,382.17,81.2,277.19,587.75,46.89,522.75,460.32,31.66,337.14,511.37,112.84,94.53,266.94,806.37,376.14,813.51,295.17,289.45,830.13,625.33,361.07,123.88,505.03,341.08,123.44,445.12,347.1,288.58,355.56,45.46,455.31,418.68,457.69,358.82,82.53,342.18,476.81,411.21,519.57,522.2,443.03,0.0,27.82,121.59,62.96,567.11,443.03,333.36,52.38,261.03,503.79,269.79,310.07,315.36,124.58,124.56,452.29,421.35,608.94,609.42,115.99,510.39,168.19,18.15,606.6,336.17,121.23,56.62,406.77,55.4,22.37,86.59,41.85,545.45,124.21,288.4,401.96
Sea Turtle Farm Galle Mahamodara,300.13,514.89,327.94,368.38,453.06,268.98,396.9,415.78,298.46,302.12,492.04,105.81,52.08,391.61,91.42,52.9,237.72,822.72,408.62,61.09,111.89,109.97,511.51,411.42,103.58,381.02,315.62,337.29,106.07,47.17,407.29,3.77,768.51,158.19,367.91,387.19,603.13,380.67,458.43,3.77,112.26,111.66,4.16,341.36,110.83,256.99,125.49,338.4,338.38,34.64,238.43,31.63,110.52,304.37,116.97,461.03,108.98,506.81,798.75,798.68,113.42,8.37,509.14,48.3,34.5,159.91,70.47,53.84,416.1,416.12,605.1,258.42,494.94,831.61,112.26,457.77,249.56,480.51,28.32,43.07,343.32,285.32,343.46,372.47,508.23,345.51,238.38,63.51,385.28,77.87,292.68,586.71,39.67,514.75,457.17,59.46,342.11,502.31,101.73,117.08,248.41,792.33,371.4,801.19,276.7,270.69,818.24,623.5,374.57,112.98,510.42,345.36,112.66,441.0,350.16,280.31,353.07,39.02,454.35,413.74,456.72,372.45,71.37,335.32,470.93,405.69,510.3,512.94,441.85,27.82,0.0,110.76,36.27,567.71,438.92,336.79,54.59,282.27,503.97,266.21,322.63,315.15,113.94,113.87,451.4,416.91,607.63,608.04,141.05,501.06,181.45,10.54,605.37,339.62,110.44,54.98,405.71,44.09,50.01,113.6,37.13,532.22,113.5,307.4,391.88
Seema Malakaya Temple,201.64,341.19,293.16,228.94,336.87,64.64,431.67,268.93,293.85,307.48,439.35,12.74,59.39,356.89,61.22,57.86,272.07,626.85,266.31,135.08,2.43,1.53,338.07,269.73,13.51,376.93,241.67,371.29,13.12,145.06,378.02,112.66,586.68,236.0,373.78,241.31,475.04,362.34,340.74,112.66,3.35,2.52,112.9,288.02,0.13,223.54,284.08,288.32,300.77,121.38,49.36,96.02,280.43,297.17,282.69,320.88,3.54,333.3,605.52,605.53,5.04,114.67,335.91,129.82,124.51,298.22,40.47,57.34,272.16,271.56,471.33,343.77,360.84,638.43,15.59,340.33,358.29,338.83,120.76,68.6,400.69,201.15,364.31,376.95,334.73,290.61,309.57,78.35,307.86,66.99,329.54,459.03,138.47,348.23,325.06,134.29,296.79,330.46,17.68,259.81,45.18,594.0,239.2,608.49,71.94,65.18,626.91,488.72,376.37,4.47,433.88,293.55,3.69,304.05,287.46,143.48,240.47,139.02,337.62,274.29,339.54,375.88,39.41,194.61,319.8,256.33,336.94,339.6,325.06,121.59,110.76,0.0,93.38,452.13,302.24,283.09,96.59,367.29,390.35,209.98,338.44,247.5,7.1,6.52,335.35,272.1,477.04,476.91,290.0,327.89,242.28,115.8,475.4,284.64,1.01,97.17,294.33,140.79,129.49,284.87,140.3,339.44,5.73,368.76,221.69
Seenigama Muhudu Viharaya,280.65,492.36,322.54,347.21,440.75,237.81,410.02,395.74,296.59,302.55,491.44,88.86,63.81,389.98,82.59,67.42,245.85,795.52,389.01,50.93,94.56,92.61,489.01,393.94,86.18,384.51,301.95,345.79,89.18,64.95,407.36,40.03,745.05,169.97,372.64,366.0,590.16,384.1,445.92,40.03,94.8,94.2,40.38,333.43,93.45,244.8,154.55,330.86,333.17,36.07,209.22,5.01,141.57,302.46,147.3,444.5,91.66,484.26,772.32,772.27,96.06,44.61,486.68,44.23,37.12,185.94,52.9,36.05,396.56,396.49,591.08,277.4,479.91,805.23,95.6,445.29,272.73,463.65,62.76,46.55,359.37,266.85,349.76,377.19,485.7,337.56,253.86,28.41,378.48,70.36,303.62,573.69,57.38,493.69,442.06,50.05,335.7,480.08,84.15,141.66,217.29,764.33,354.85,774.93,245.48,239.19,792.38,609.4,378.88,95.53,505.89,337.99,95.32,424.8,341.1,260.35,339.45,57.0,441.94,396.71,444.27,376.95,54.1,316.51,452.48,384.79,487.81,490.47,429.25,62.96,36.27,93.38,0.0,556.77,422.73,328.48,56.14,301.89,492.75,250.67,326.64,302.59,96.72,96.62,439.06,397.26,594.22,594.53,168.6,478.56,191.39,46.8,592.06,331.26,93.1,59.91,393.45,61.46,44.84,145.08,55.78,505.38,96.22,323.31,368.96
Seruwila Mangala Raja Maha Vihara,514.86,146.42,489.45,450.04,117.18,409.35,257.18,401.16,523.16,524.7,121.71,448.26,516.18,440.34,402.9,505.79,374.87,317.73,407.38,566.72,450.21,452.4,146.29,184.94,458.82,468.6,495.41,522.88,447.13,562.08,433.22,569.24,234.61,441.81,483.96,431.7,35.45,187.57,112.56,569.24,452.67,453.17,569.7,473.04,452.07,554.01,533.12,476.4,479.91,559.33,403.59,559.75,546.78,517.69,541.95,100.42,452.37,147.28,292.85,292.43,449.43,569.75,146.15,566.79,567.75,509.16,492.22,511.81,399.88,400.05,46.41,317.62,71.35,310.01,437.1,113.07,345.37,331.76,564.3,527.07,285.86,528.54,509.04,480.3,147.03,469.01,303.21,539.85,188.55,424.85,263.04,28.47,560.13,127.9,93.58,566.35,474.43,143.89,463.56,511.0,417.66,315.09,213.03,291.85,407.08,412.9,294.91,56.09,476.96,451.98,80.4,469.89,449.83,150.72,463.22,311.24,218.91,563.37,116.16,179.67,114.0,479.46,487.65,257.54,111.39,412.91,146.27,145.78,129.02,567.11,567.71,452.13,556.77,0.0,152.25,477.04,468.9,318.34,46.58,545.55,517.18,495.88,446.19,447.13,118.8,399.28,41.64,42.73,521.84,147.58,419.92,570.71,39.59,474.24,451.62,513.39,163.78,556.59,563.75,549.81,572.33,206.73,447.76,289.73,251.43
Sigiriya Lion Rock,327.19,121.02,331.35,258.73,53.19,257.2,338.18,212.44,366.26,372.54,212.42,299.34,375.6,307.37,268.2,365.91,288.57,440.65,220.01,448.71,300.23,302.62,118.34,32.79,309.82,344.83,318.73,394.05,298.23,449.58,310.35,440.99,353.77,337.04,358.29,239.96,172.97,228.45,53.01,440.99,302.55,303.1,441.48,311.7,302.19,375.77,428.81,315.49,324.28,436.44,253.18,426.29,439.14,361.93,435.75,22.46,302.75,115.8,409.6,409.26,299.25,442.26,116.4,446.38,444.84,412.9,348.5,371.08,212.74,212.59,170.58,367.73,58.86,439.83,287.58,53.16,403.73,159.84,440.31,388.2,354.74,342.3,378.36,356.12,116.61,308.36,339.06,402.69,121.1,292.92,299.79,156.85,444.84,103.6,23.62,448.06,316.8,108.83,314.7,403.74,266.12,423.04,67.89,410.23,254.85,260.71,421.89,188.53,352.65,301.78,174.87,310.54,299.76,2.1,300.62,165.78,89.74,447.78,52.71,27.96,53.09,354.86,344.06,109.47,44.28,221.72,117.39,118.92,46.85,443.03,438.92,302.24,422.73,152.25,0.0,314.1,347.07,377.02,96.21,363.15,376.35,321.34,296.06,296.97,52.66,211.8,175.43,175.41,421.08,111.81,319.25,443.53,173.62,311.66,301.81,386.94,57.96,442.99,443.73,442.81,455.76,194.95,297.63,346.0,102.69
Single Tree Hill,81.45,458.98,19.95,92.81,317.94,294.51,335.27,113.38,52.71,61.61,376.91,267.34,292.03,74.61,132.32,275.89,131.01,923.31,105.79,333.36,282.51,281.94,454.18,284.87,279.21,95.7,41.42,109.78,266.14,330.3,95.72,338.51,814.95,167.91,96.09,101.89,531.54,240.11,326.04,338.51,286.86,286.39,339.15,5.38,283.18,84.96,298.5,5.44,20.36,322.07,246.49,331.61,313.5,49.16,308.44,346.03,279.96,448.24,882.36,882.02,284.42,338.68,450.77,332.79,334.09,278.55,276.49,286.95,110.94,111.49,537.21,253.59,385.95,927.66,263.51,324.99,294.49,155.19,329.34,300.21,301.35,83.81,96.69,98.23,450.09,9.26,203.61,312.34,213.6,147.92,197.83,508.39,325.37,447.28,333.92,332.76,13.99,439.63,282.9,262.76,280.2,889.86,226.8,884.34,301.29,301.24,904.18,563.46,96.84,287.27,394.22,10.93,283.52,317.06,13.93,159.17,185.91,329.81,319.95,285.24,323.42,96.94,270.3,200.7,370.46,111.19,452.46,455.85,303.04,333.36,336.79,283.09,328.48,477.04,314.1,0.0,193.09,279.88,387.06,85.48,78.6,35.83,280.76,282.0,315.58,112.14,539.06,539.89,288.13,440.36,145.56,339.84,535.59,2.83,281.72,258.39,251.59,321.49,328.52,318.66,342.11,523.59,282.17,262.5,304.67
Sinharaja Forest Reserve,172.14,434.37,182.7,239.59,356.1,227.62,306.52,283.52,152.31,155.94,389.79,89.97,59.4,245.38,49.56,54.66,140.79,752.25,275.87,54.38,97.27,95.81,430.95,322.05,90.78,235.89,177.64,195.47,89.92,57.34,261.19,54.98,688.1,69.03,223.35,257.72,506.15,279.75,361.65,54.98,98.37,97.86,55.21,197.36,96.65,120.06,105.57,194.16,192.99,48.28,190.88,56.48,106.35,158.23,106.59,369.5,94.73,426.4,726.06,725.91,98.7,54.78,428.55,52.99,52.78,117.21,66.96,58.89,283.09,283.26,509.28,182.35,400.97,758.59,93.9,360.93,186.69,342.73,50.88,56.79,258.74,156.64,199.84,227.91,427.8,201.45,154.23,56.22,284.24,67.12,199.35,489.82,53.28,430.92,363.6,53.98,197.21,421.23,90.24,79.79,208.77,724.74,281.07,728.05,235.03,230.9,743.77,527.69,229.8,98.95,408.31,200.96,98.0,349.17,206.81,199.64,258.66,54.65,357.45,323.61,359.85,227.76,65.9,250.03,382.5,275.08,429.74,432.3,345.25,52.38,54.59,96.59,56.14,468.9,347.07,193.09,0.0,207.24,405.65,133.86,177.58,175.86,98.37,98.56,354.44,284.06,511.11,511.6,109.36,420.68,87.7,55.11,508.74,195.9,96.1,47.9,309.01,53.3,51.55,110.79,58.45,463.33,98.34,222.93,314.5
Sithulpawwa Rock Temple,344.74,359.14,261.09,372.54,355.63,393.12,95.33,383.21,242.51,228.47,215.89,354.69,318.56,241.26,253.35,309.33,104.23,594.6,376.84,236.35,367.75,366.06,356.87,367.89,359.77,202.05,311.59,170.1,354.18,213.51,232.01,280.69,529.04,138.69,192.58,379.71,352.56,132.16,361.31,280.69,370.49,369.79,280.86,277.8,367.38,304.29,168.44,274.99,259.97,251.4,356.44,300.62,187.47,241.61,179.84,288.56,364.23,354.34,572.08,571.83,369.92,277.53,355.25,245.72,256.53,129.93,328.83,317.42,379.67,380.44,360.11,18.1,298.79,594.0,357.14,360.48,33.2,391.09,258.88,313.29,50.5,337.37,183.69,192.9,355.13,278.25,42.02,309.85,263.43,242.72,56.81,342.44,222.21,349.0,277.71,237.28,267.88,349.47,360.42,166.57,379.26,580.84,332.59,572.54,398.97,397.53,580.78,372.31,195.9,371.22,247.64,274.56,368.88,378.76,286.18,307.25,297.62,225.3,357.24,365.9,359.42,194.34,326.01,328.53,306.24,385.07,356.07,357.53,349.43,261.03,282.27,367.29,301.89,318.34,377.02,279.88,207.24,0.0,281.2,320.74,202.37,304.8,368.19,368.85,354.33,380.85,358.03,358.87,150.71,350.69,126.02,276.69,355.99,280.37,366.29,243.11,320.64,213.89,242.42,187.25,234.54,401.06,368.69,30.86,401.28
Somawathiya Chaitya,423.39,129.0,400.11,358.59,53.7,350.13,229.48,309.71,434.21,436.44,106.95,386.01,452.27,354.17,338.85,441.82,316.77,331.99,315.9,504.13,388.49,390.56,128.11,127.52,396.58,384.58,404.36,438.6,384.88,500.29,348.77,505.54,255.21,380.79,399.79,340.26,74.36,154.2,49.6,505.54,391.02,391.47,506.02,383.21,390.3,463.01,472.62,386.64,390.81,496.14,342.27,495.77,485.74,428.87,481.14,64.01,390.45,128.03,307.63,307.27,387.82,506.13,127.43,503.9,504.57,450.1,428.62,447.9,308.38,308.57,79.66,278.86,41.27,326.98,375.17,50.02,306.48,240.3,500.99,463.06,253.1,437.1,424.24,396.36,128.09,379.22,262.68,475.8,128.86,360.84,224.87,63.02,497.93,110.8,53.25,503.74,385.05,123.63,401.28,449.9,357.31,325.21,151.25,307.19,348.38,353.9,312.45,92.5,392.96,390.38,69.37,380.25,388.17,95.1,373.18,248.41,155.03,501.1,52.84,121.8,50.84,395.44,424.05,195.92,80.79,321.49,127.81,127.93,65.59,503.79,503.97,390.35,492.75,46.58,96.21,387.06,405.65,281.2,0.0,454.29,430.65,404.98,384.58,385.53,55.29,307.8,78.91,79.53,461.96,127.05,359.48,507.12,76.99,384.28,389.81,449.79,99.78,494.61,500.9,488.9,509.95,190.0,386.13,253.92,198.74
Sri Pada / Adam's Peak,39.0,487.56,88.52,105.75,381.06,241.31,408.3,150.75,83.85,97.52,461.34,192.84,207.13,158.38,48.71,191.04,179.29,944.68,143.29,279.49,210.04,208.52,482.68,326.44,202.93,170.57,51.64,161.4,191.85,285.47,179.04,268.74,849.6,155.57,165.49,123.99,595.41,324.71,388.71,268.74,214.22,213.49,269.42,90.86,210.09,18.71,269.27,89.53,98.01,260.36,188.53,254.59,277.56,87.3,275.25,395.06,206.19,476.25,906.32,906.09,212.59,270.02,479.23,275.04,272.34,265.33,191.34,201.9,150.69,150.77,598.35,289.03,441.69,952.56,192.86,387.77,318.41,214.37,265.91,216.6,362.55,23.98,154.39,169.01,478.2,94.63,238.54,230.57,291.02,63.96,260.81,571.95,276.06,481.91,387.92,278.4,96.79,468.64,205.61,230.98,221.06,906.96,268.07,908.96,250.03,247.48,930.88,624.66,168.84,214.97,474.64,96.3,211.37,366.15,95.57,155.12,238.52,279.92,382.89,328.89,386.27,168.04,185.21,223.69,412.71,141.64,480.92,484.56,365.01,269.79,266.21,209.98,250.67,545.55,363.15,85.48,133.86,320.74,454.29,0.0,128.44,53.38,209.53,210.62,378.69,151.56,601.86,602.44,265.99,468.06,150.71,271.65,598.61,87.92,208.56,190.11,313.39,275.14,271.39,283.52,290.38,534.47,210.58,317.7,318.56
